Match_no,Match_Between,Team_Innings,Batsman_Name,Batting_Position,Dismissal,Runs,Balls,4s,6s,Strike_Rate
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.3
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.3
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.5
1,England vs New Zealand,England,Harry Brook,4,c Devon Conway b Rachin Ravindra,25,16,4,1,156.3
1,England vs New Zealand,England,Moeen Ali,5,b Glenn Phillips,11,17,1,0,64.7
1,England vs New Zealand,England,Jos Buttler,6,c Tom Latham b Matt Henry,43,42,2,2,102.4
1,England vs New Zealand,England,Liam Livingstone,7,c Matt Henry b Trent Boult,20,22,3,0,90.9
1,England vs New Zealand,England,Sam Curran,8,c Tom Latham b Matt Henry,14,19,0,0,73.7
1,England vs New Zealand,England,Chris Woakes,9,c Will Young b Mitchell Santner,11,12,1,0,91.7
1,England vs New Zealand,England,Adil Rashid,10,not out,15,13,0,1,115.4
1,England vs New Zealand,England,Mark Wood,11,not out,13,14,0,0,92.9
1,England vs New Zealand,New Zealand,Devon Conway,1,not out,152,121,19,3,125.6
1,England vs New Zealand,New Zealand,Will Young,2,c Jos Buttler b Sam Curran,0,1,0,0,0
1,England vs New Zealand,New Zealand,Rachin Ravindra,3,not out,123,96,11,5,128.1
2,Pakistan vs Netherlands,Pakistan,Fakhar Zaman,1,c & b Logan van Beek,12,15,3,0,80
2,Pakistan vs Netherlands,Pakistan,Imam-ul-Haq,2,c Aryan Dutt b Paul van Meekeren,15,19,2,0,78.9
2,Pakistan vs Netherlands,Pakistan,Babar Azam,3,c Saqib Zulfiqar b Colin Ackermann,5,18,0,0,27.8
2,Pakistan vs Netherlands,Pakistan,Mohammad Rizwan,4,b Bas de Leede,68,75,8,0,90.7
2,Pakistan vs Netherlands,Pakistan,Saud Shakeel,5,c Saqib Zulfiqar b Aryan Dutt,68,52,9,1,130.8
2,Pakistan vs Netherlands,Pakistan,Iftikhar Ahmed,6,c Scott Edwards b Bas de Leede,9,11,1,0,81.8
2,Pakistan vs Netherlands,Pakistan,Mohammad Nawaz,7,run out (Paul van Meekeren/Colin Ackermann),39,43,4,0,90.7
2,Pakistan vs Netherlands,Pakistan,Shadab Khan,8,b Bas de Leede,32,34,2,1,94.1
2,Pakistan vs Netherlands,Pakistan,Hasan Ali,9,lbw b Bas de Leede,0,1,0,0,0
2,Pakistan vs Netherlands,Pakistan,Shaheen Afridi,10,not out,13,12,2,0,108.3
2,Pakistan vs Netherlands,Pakistan,Haris Rauf,11,st Scott Edwards b Colin Ackermann,16,14,2,1,114.3
2,Pakistan vs Netherlands,Netherlands,Vikramjit Singh,1,c Fakhar Zaman b Shadab Khan,52,67,4,1,77.6
2,Pakistan vs Netherlands,Netherlands,Max O'Dowd,2,c Shaheen Afridi b Hasan Ali,5,12,1,0,41.7
2,Pakistan vs Netherlands,Netherlands,Colin Ackermann,3,b Iftikhar Ahmed,17,21,3,0,81
2,Pakistan vs Netherlands,Netherlands,Bas de Leede,4,b Mohammad Nawaz,67,68,6,2,98.5
2,Pakistan vs Netherlands,Netherlands,Teja Nidamanuru,5,c Fakhar Zaman b Haris Rauf,5,9,1,0,55.6
2,Pakistan vs Netherlands,Netherlands,Scott Edwards,6,lbw b Haris Rauf,0,2,0,0,0
2,Pakistan vs Netherlands,Netherlands,Saqib Zulfiqar,7,lbw b Shaheen Afridi,10,18,1,0,55.6
2,Pakistan vs Netherlands,Netherlands,Roelof van der Merwe,8,run out (Babar Azam/Mohammad Rizwan),4,7,0,0,57.1
2,Pakistan vs Netherlands,Netherlands,Logan van Beek,9,not out,28,28,3,1,100
2,Pakistan vs Netherlands,Netherlands,Aryan Dutt,10,b Hasan Ali,1,2,0,0,50
2,Pakistan vs Netherlands,Netherlands,Paul van Meekeren,11,b Haris Rauf,7,12,1,0,58.3
3,Afghanistan vs Bangladesh,Afghanistan,Rahmanullah Gurbaz,1,c Tanzid Hasan b Mustafizur Rahman,47,62,4,1,75.8
3,Afghanistan vs Bangladesh,Afghanistan,Ibrahim Zadran,2,c Tanzid Hasan b Shakib Al Hasan,22,25,3,1,88
3,Afghanistan vs Bangladesh,Afghanistan,Rahmat Shah,3,c Litton Das b Shakib Al Hasan,18,25,1,0,72
3,Afghanistan vs Bangladesh,Afghanistan,Hashmatullah Shahidi,4,c Towhid Hridoy b Mehidy Hasan Miraz,18,38,2,0,47.4
3,Afghanistan vs Bangladesh,Afghanistan,Najibullah Zadran,5,b Shakib Al Hasan,5,13,0,0,38.5
3,Afghanistan vs Bangladesh,Afghanistan,Mohammad Nabi,6,b Taskin Ahmed,6,12,0,0,50
3,Afghanistan vs Bangladesh,Afghanistan,Azmatullah Omarzai,7,b Shoriful Islam,22,20,4,0,110
3,Afghanistan vs Bangladesh,Afghanistan,Rashid Khan,8,b Mehidy Hasan Miraz,9,16,1,0,56.3
3,Afghanistan vs Bangladesh,Afghanistan,Mujeeb Ur Rahman,9,b Mehidy Hasan Miraz,1,4,0,0,25
3,Afghanistan vs Bangladesh,Afghanistan,Naveen-ul-Haq,10,c Towhid Hridoy b Shoriful Islam,0,6,0,0,0
3,Afghanistan vs Bangladesh,Afghanistan,Fazalhaq Farooqi,11,not out,0,3,0,0,0
3,Afghanistan vs Bangladesh,Bangladesh,Tanzid Hasan,1,run out Najibullah Zadran,5,13,1,0,38.5
3,Afghanistan vs Bangladesh,Bangladesh,Litton Das,2,b Fazalhaq Farooqi,13,18,2,0,72.2
3,Afghanistan vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,3,c Rahmat Shah b Naveen-ul-Haq,57,73,5,0,78.1
3,Afghanistan vs Bangladesh,Bangladesh,Najmul Hossain Shanto,4,not out,59,83,3,1,71.1
3,Afghanistan vs Bangladesh,Bangladesh,Shakib Al Hasan,5,c Fazalhaq Farooqi b Azmatullah Omarzai,14,19,2,0,73.7
3,Afghanistan vs Bangladesh,Bangladesh,Mustafizur Rahman,6,not out,2,3,0,0,66.7
4,South Africa vs Sri Lanka,South Africa,Quinton de Kock,1,c Dhananjaya de Silva b Matheesha Pathirana,100,84,12,3,119
4,South Africa vs Sri Lanka,South Africa,Temba Bavuma,2,lbw b Dilshan Madushanka,8,5,2,0,160
