Match_no,Match_Between,Bowling_Team,Bowler_Name,Overs,Maidens,Runs,Wickets,Economy
1,England vs New Zealand,New Zealand,Trent Boult,10,1,48,1,4.8
1,England vs New Zealand,New Zealand,Matt Henry,10,1,48,3,4.8
1,England vs New Zealand,New Zealand,Mitchell Santner,10,0,37,2,3.7
1,England vs New Zealand,New Zealand,Jimmy Neesham,7,0,56,0,8
1,England vs New Zealand,New Zealand,Rachin Ravindra,10,0,76,1,7.6
1,England vs New Zealand,New Zealand,Glenn Phillips,3,0,17,2,5.67
1,England vs New Zealand,England,Chris Woakes,6,0,45,0,7.5
1,England vs New Zealand,England,Sam Curran,6,2,47,1,7.833
1,England vs New Zealand,England,Mark Wood,5,0,55,0,11
1,England vs New Zealand,England,Moeen Ali,9.2,0,60,0,6.429
1,England vs New Zealand,England,Adil Rashid,7,0,47,0,6.714
1,England vs New Zealand,England,Liam Livingstone,3,0,24,0,8
2,Pakistan vs Netherlands,Netherlands,Aryan Dutt,10,0,48,1,4.8
2,Pakistan vs Netherlands,Netherlands,Logan van Beek,6,0,30,1,5
2,Pakistan vs Netherlands,Netherlands,Colin Ackermann,8,1,39,2,4.88
2,Pakistan vs Netherlands,Netherlands,Paul van Meekeren,6,0,40,1,6.67
2,Pakistan vs Netherlands,Netherlands,Bas de Leede,9,0,62,4,6.89
2,Pakistan vs Netherlands,Netherlands,Roelof van der Merwe,6,0,36,0,6
2,Pakistan vs Netherlands,Netherlands,Vikramjit Singh,2,0,16,0,8
2,Pakistan vs Netherlands,Netherlands,Saqib Zulfiqar,2,0,15,0,7.5
2,Pakistan vs Netherlands,Pakistan,Shaheen Afridi,7,0,37,1,5.286
2,Pakistan vs Netherlands,Pakistan,Hasan Ali,7,1,33,2,4.714
2,Pakistan vs Netherlands,Pakistan,Haris Rauf,9,0,43,3,4.778
2,Pakistan vs Netherlands,Pakistan,Iftikhar Ahmed,3,0,16,1,5.333
2,Pakistan vs Netherlands,Pakistan,Mohammad Nawaz,7,0,31,1,4.429
2,Pakistan vs Netherlands,Pakistan,Shadab Khan,8,0,45,1,5.625
3,Afghanistan vs Bangladesh,Bangladesh,Taskin Ahmed,6,0,32,1,5.33
3,Afghanistan vs Bangladesh,Bangladesh,Shoriful Islam,6.2,1,34,2,5.37
3,Afghanistan vs Bangladesh,Bangladesh,Mustafizur Rahman,7,1,28,1,4
3,Afghanistan vs Bangladesh,Bangladesh,Shakib Al Hasan,8,0,30,3,3.75
3,Afghanistan vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,9,3,25,3,2.78
3,Afghanistan vs Bangladesh,Bangladesh,Mahmudullah,1,0,7,0,7
3,Afghanistan vs Bangladesh,Afghanistan,Fazalhaq Farooqi,5,0,19,1,3.8
3,Afghanistan vs Bangladesh,Afghanistan,Mujeeb Ur Rahman,7,0,30,0,4.286
3,Afghanistan vs Bangladesh,Afghanistan,Naveen-ul-Haq,5.4,0,31,1,5.471
3,Afghanistan vs Bangladesh,Afghanistan,Rashid Khan,9,0,48,0,5.333
3,Afghanistan vs Bangladesh,Afghanistan,Mohammad Nabi,6,1,18,0,3
3,Afghanistan vs Bangladesh,Afghanistan,Azmatullah Omarzai,2,0,9,1,4.5
4,South Africa vs Sri Lanka,Sri Lanka,Kasun Rajitha,10,1,90,1,9
4,South Africa vs Sri Lanka,Sri Lanka,Dilshan Madushanka,10,0,86,2,8.6
4,South Africa vs Sri Lanka,Sri Lanka,Dasun Shanaka,6,0,36,0,6
4,South Africa vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4,0,39,0,9.75
4,South Africa vs Sri Lanka,Sri Lanka,Matheesha Pathirana,10,0,95,1,9.5
4,South Africa vs Sri Lanka,Sri Lanka,Dunith Wellalage,10,0,81,1,8.1
4,South Africa vs Sri Lanka,South Africa,Lungi Ngidi,8,1,49,1,6.125
4,South Africa vs Sri Lanka,South Africa,Marco Jansen,10,0,92,2,9.2
4,South Africa vs Sri Lanka,South Africa,Kagiso Rabada,7.5,0,50,2,6.383
4,South Africa vs Sri Lanka,South Africa,Keshav Maharaj,10,0,62,2,6.2
4,South Africa vs Sri Lanka,South Africa,Gerald Coetzee,9,0,68,3,7.556
5,Australia vs India,India,Jasprit Bumrah,10,0,35,2,3.5
5,Australia vs India,India,Mohammed Siraj,6.3,1,26,1,4
5,Australia vs India,India,Hardik Pandya,3,0,28,1,9.33
5,Australia vs India,India,Ravichandran Ashwin,10,1,34,1,3.4
5,Australia vs India,India,Kuldeep Yadav,10,0,42,2,4.2
5,Australia vs India,India,Ravindra Jadeja,10,2,28,3,2.8
5,Australia vs India,Australia,Mitchell Starc,8,0,31,1,3.875
5,Australia vs India,Australia,Josh Hazlewood,9,1,38,3,4.222
5,Australia vs India,Australia,Pat Cummins,6.2,0,33,0,5.211
5,Australia vs India,Australia,Glenn Maxwell,8,0,33,0,4.125
5,Australia vs India,Australia,Cameron Green,2,0,11,0,5.5
5,Australia vs India,Australia,Adam Zampa,8,0,53,0,6.625
6,New Zealand vs Netherlands,Netherlands,Aryan Dutt,10,2,62,2,6.2
6,New Zealand vs Netherlands,Netherlands,Ryan Klein,7,1,41,0,5.86
6,New Zealand vs Netherlands,Netherlands,Paul van Meekeren,9,0,59,2,6.56
6,New Zealand vs Netherlands,Netherlands,Roelof van der Merwe,9,0,56,2,6.22
6,New Zealand vs Netherlands,Netherlands,Colin Ackermann,4,0,28,0,7
6,New Zealand vs Netherlands,Netherlands,Bas de Leede,10,0,64,1,6.4
6,New Zealand vs Netherlands,Netherlands,Vikramjit Singh,1,0,9,0,9
6,New Zealand vs Netherlands,New Zealand,Trent Boult,8,0,34,0,4.25
6,New Zealand vs Netherlands,New Zealand,Matt Henry,8.3,0,40,3,4.706
6,New Zealand vs Netherlands,New Zealand,Mitchell Santner,10,0,59,5,5.9
6,New Zealand vs Netherlands,New Zealand,Lockie Ferguson,8,0,32,0,4
6,New Zealand vs Netherlands,New Zealand,Rachin Ravindra,10,0,46,1,4.6
6,New Zealand vs Netherlands,New Zealand,Glenn Phillips,2,0,11,0,5.5
7,England vs Bangladesh,Bangladesh,Mustafizur Rahman,10,0,70,0,7
7,England vs Bangladesh,Bangladesh,Taskin Ahmed,6,0,38,1,6.333
7,England vs Bangladesh,Bangladesh,Shoriful Islam,10,0,75,3,7.5
7,England vs Bangladesh,Bangladesh,Mahedi Hasan,8,0,71,4,8.875
7,England vs Bangladesh,Bangladesh,Shakib Al Hasan,10,0,52,1,5.2
7,England vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,6,0,55,0,9.167
7,England vs Bangladesh,England,Chris Woakes,8,0,49,2,6.125
7,England vs Bangladesh,England,Reece Topley,10,1,43,4,4.3
7,England vs Bangladesh,England,Sam Curran,7.2,0,47,1,6.409
7,England vs Bangladesh,England,Mark Wood,10,0,29,1,2.9
7,England vs Bangladesh,England,Adil Rashid,10,0,42,1,4.2
7,England vs Bangladesh,England,Liam Livingstone,3,0,13,1,4.333
8,Sri Lanka vs Pakistan,Pakistan,Shaheen Afridi,9,0,66,1,7.333
8,Sri Lanka vs Pakistan,Pakistan,Hasan Ali,10,0,71,4,7.1
8,Sri Lanka vs Pakistan,Pakistan,Mohammad Nawaz,9,0,62,1,6.889
8,Sri Lanka vs Pakistan,Pakistan,Haris Rauf,10,0,64,2,6.4
8,Sri Lanka vs Pakistan,Pakistan,Shadab Khan,8,0,55,1,6.875
8,Sri Lanka vs Pakistan,Pakistan,Iftikhar Ahmed,4,0,22,0,5.5
8,Sri Lanka vs Pakistan,Sri Lanka,Maheesh Theekshana,10,0,59,1,5.9
8,Sri Lanka vs Pakistan,Sri Lanka,Dilshan Madushanka,9.2,0,60,2,6.429
8,Sri Lanka vs Pakistan,Sri Lanka,Dasun Shanaka,5,0,28,0,5.6
8,Sri Lanka vs Pakistan,Sri Lanka,Matheesha Pathirana,9,0,90,1,10
8,Sri Lanka vs Pakistan,Sri Lanka,Dunith Wellalage,10,0,62,0,6.2
8,Sri Lanka vs Pakistan,Sri Lanka,Dhananjaya de Silva,4,0,36,0,9
8,Sri Lanka vs Pakistan,Sri Lanka,Charith Asalanka,1,0,10,0,10
9,Afghanistan vs India,India,Jasprit Bumrah,10,0,39,4,3.9
9,Afghanistan vs India,India,Mohammed Siraj,9,0,76,0,8.44
