player_name,team_name,image_of_player,battingStyle,bowlingStyle,playingRole,description
Jonny Bairstow,England, ,Right-hand bat,Right-arm fast-medium,Wicketkeeper Batter,"Jonny Bairstow is an English cricketer known for his aggressive batting and wicketkeeping skills. Born on September 26, 1989, in Bradford, Yorkshire, Bairstow has been a key player for England in all formats of the game. He has represented England in Test matches, One Day Internationals (ODIs), and Twenty20 Internationals (T20Is). Known for his versatility, Bairstow has played crucial roles as both a wicketkeeper and a top-order batsman. He has been a consistent performer for England, contributing with both the bat and behind the stumps."
Joe Root,England, ,Right hand Bat,Right arm Offbreak,Top order Batter,"Joe Root is an English cricketer known for his elegant right-handed batting and occasional off-spin. Born on December 30, 1990, in Sheffield, South Yorkshire, Root is a key player in England's cricket team. He bats in the top order and is recognized for his sound technique and leadership skills. Root has been a consistent performer across formats, representing England in Test matches, One Day Internationals (ODIs), and Twenty20 Internationals (T20Is)."
Jos Buttler,England, ,Right hand Bat, ,Wicketkeeper Batter,"Jos Buttler is an English cricketer known for his explosive right-handed batting and wicketkeeping skills. Born on September 8, 1990, in Taunton, Somerset, Buttler is a dynamic player in England's cricket setup. He is a wicketkeeper-batsman who has the ability to play aggressive innings and finish games. Buttler has been a valuable asset in limited-overs cricket, representing England in One Day Internationals (ODIs) and Twenty20 Internationals (T20Is)."
Will Young,New Zealand, ,Right hand Bat,Right arm Offbreak,Top order Batter,"Will Young is a New Zealand cricketer known for his right-handed batting and occasional off-spin. Born on November 3, 1992, in New Plymouth, Taranaki, Young is a top-order batsman who has represented New Zealand in various formats. He is recognized for his solid technique and ability to anchor the innings. Young has been a consistent performer, contributing with the bat in Test matches and other formats for New Zealand."
Rachin Ravindra,New Zealand, ,Left hand Bat,Slow Left arm Orthodox,Top order Batter,"Rachin Ravindra is a New Zealand cricketer known for his left-handed batting and slow left-arm orthodox spin. Born on October 20, 1999, in Lower Hutt, New Zealand, Ravindra is a top-order batsman with the ability to bowl spin. He has showcased his skills in various formats, representing New Zealand in Test matches and other competitions."
Imam-ul-Haq,Pakistan, ,Left hand Bat, ,Top order Batter,"Imam-ul-Haq is a Pakistani cricketer known for his left-handed batting. Born on December 12, 1995, in Lahore, Pakistan, Imam-ul-Haq is a top-order batsman who has represented Pakistan in various formats. He is recognized for his solid technique and has been a key contributor to the team's batting lineup."
Babar Azam,Pakistan, ,Right hand Bat,Right arm Offbreak,Top order Batter,"Babar Azam is a Pakistani cricketer known for his elegant right-handed batting and occasional off-spin. Born on October 15, 1994, in Lahore, Pakistan, Babar Azam is a top-order batsman and has emerged as one of the leading run-scorers for Pakistan in all formats. He is known for his stylish strokes and has been a consistent performer for the national team."
Saud Shakeel,Pakistan, ,Left hand Bat, ,Middle order Batter,"Saud Shakeel is a Pakistani cricketer known for his left-handed batting. Born on August 1, 1994, in Karachi, Pakistan, Saud Shakeel is a middle-order batsman who has represented Pakistan. He has showcased his ability to anchor the innings and play crucial roles in the middle order for the team."
Hasan Ali,Pakistan, ,Right hand Bat,Right arm Fast medium,Bowler,"Hasan Ali is a Pakistani cricketer known for his right-handed batting and right-arm fast-medium bowling. Born on July 2, 1994, in Mandi Bahauddin, Pakistan, Hasan Ali is a bowler who has represented Pakistan in various formats. He is recognized for his ability to generate pace and take crucial wickets for the team."
Shaheen Afridi,Pakistan, ,Left hand Bat,Left arm Fast medium,Bowler,"Shaheen Afridi is a Pakistani cricketer known for his left-handed batting and left-arm fast-medium bowling. Born on April 6, 2000, in Khyber Agency, Pakistan, Afridi is a bowler who has represented Pakistan in all three formats of the game. He is recognized for his pace and ability to swing the ball."
